ID,Initial,MostCommonName,ScientificName,Type,Description,CommonName1,CommonName2,CommonName3,CommonName4,Leaves1,Leaves2,Leaves3,Leaves4,Bark1,Bark2,Bark3,Bark4,Flowers1,Flowers2,Flowers3,Flowers4,Fruits1,Fruits2,Fruits3,Fruits4,Link1,Link2,Location,Map
13,B,Banyan,Ficus benghalensis,Evergreen,"Banyan is a large tree, reaches upto height of 20 to 25m, with wide leafy crown and branches spreading up to 100m or more. It produces propagating roots which grow downwards as aerial root.The tree is considered sacred in India, and temples are often built beneath. Due to the large size of the tree's canopy it provides useful shade in hot climates. The giant banyans of India are the largest trees in the world by area of canopy coverage.",Bargad,Vatavrikhsa,Vad,Indian Fig Tree,"Simple, thick, glossy, deep green",Ovate elliptic in shape,"12 to 18cm long, 5 to 8cm wide",5 to 7 pairs of lateral veins,"Smooth, hard trunk",Greyish brown in color,Softly pubescent when young,,Small and sessile,Flowering throughout the year,Distinct male and female flowers are present,Enclosed inside 'fig',"Red, round and spongy",Fruiting throughout the year,Pinkish-red to dark brown ,Present in axillary pairs,"<iframe width=""854"" height=""480"" src=""https://www.youtube.com/embed/Wp3B5vnoSZs?ecver=1"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen></iframe>",https://www.youtube.com/watch?v=Wp3B5vnoSZs&list=PL7jZaz9RpobeLA6ZE5e-Is4HoLkADcdbj&index=40,"Lakeside road, Inside Tansa hostel, beside ED building(Westside)","<iframe src=""https://www.google.com/maps/d/u/0/embed?mid=1R5PywzNGKHu1_xG7POPcOu2sVYvMpV05"" width=""640"" height=""480""></iframe>"
14,B,Bartondi,Morinda pubescens,Evergreen,"Indian Mulberry is a tree in the coffee family Rubiaceae. An evergreen shrub or small tree growing to 5 to 10m tall,native to Southeast Asia and Australasia. The plant is extensively cultivated in India in order to make the morindone dye sold under the trade name 'Suranji'. The colouring matter is found principally in the root bark and is collected when the plants reach three to four years of age.",Indian Mulberry,Maddi,Aal,Morinda,"Simple, oppositely arranged",Oblong to lancelike in shape,"7.5 to 25cm long, 2 to 8cm wide",7 to 12 pairs of lateral nerves,"Thick, rough, crooked",Pale brown in color,Fissured longitudinally,,"Tubular, white, scented",They are bisexual,Oblong 1cm long petals,3 to 7 petals and stamens per flower,Fruit is a multiple fruit,"10 to 18cm long, 2 to 2.5cm in diameter",Turns yellow then almost white as it ripens,Has pungent odour as it ripens,"<iframe width=""854"" height=""480"" src=""https://www.youtube.com/embed/xWW8ws3ieIU?list=PL7jZaz9RpobeLA6ZE5e-Is4HoLkADcdbj&amp;ecver=1"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen></iframe>",https://www.youtube.com/watch?v=xWW8ws3ieIU&index=42&list=PL7jZaz9RpobeLA6ZE5e-Is4HoLkADcdbj,"Near H3, H4, H5, H6",
15,B,Bel,Aegle marmelos,Deciduous,"Bel is a species of tree native to the Indian subcontinent and Southeast Asia. A small to medium-sized tree, with slender drooping branches and rather shabby crown. A Sacred tree, leaves are dedicated to lord Shiva.This tree is the only species in the genus Aegle, grows up to 15 meters tall and bears thorns and fragrant flowers. The skin of some forms of the fruit is so hard it must be cracked open with a hammer. ",Stone Apple,Wood Apple,Bengal Quince,Bilvapatra,"Alternate, pale green, trifoliate",Ovate to lanceolate in shape,Have reticulate pinnate venation,4 to 12 pairs of lateral veins,"Smooth, finely fissured and flaking",Pale brown in color,Armed with long straight spines,,"Greenish white, sweetly scented",They are bisexual,Four/five petals of 6 to 8mm in length,Clustered at the end of twigs and leaf axils,"Smooth, yellowish grey, pear shaped","Woody skinned, 5 to 12cm in diameter",Contains aromatic orange pulp,Eaten fresh or dried,,,,"<iframe src=""https://www.google.com/maps/d/u/0/embed?mid=1sosaRIyw3BR9Iyxh9POkVxWaE_7tel7c"" width=""640"" height=""480""></iframe>"
16,B,Ber,Ziziphus mauritiana,Evergreen,"Ber is a small to medium sized subtropical tree, reaches upto a height of 15m, popular for its small berry like fruit. Grows vigorously and has a rapidly developing taproot, a necessary adaptation to drought conditions. This tree may be erect or wide-spreading, with gracefully drooping thorny branches, zigzag branchlets, thornless or set with short, sharp straight or hooked spines.",Indian Jujube ,Indian Plum tree,Chinese Date,Chinee Apple,"Alternate, deep green, glossy",Oblong elliptic with rounded apex,"2.5 to 3.2cm long, 1.8 to 3.8 cm wide",Strongly 3 ribbed from base,"Rough, deep vertical cracks",Dark grey or nearly black,Reddish and fibrous inside,,"Tiny, yellow, 5 petalled",They are bisexual,"Woolly outside, glabrous within",Born in clusters along the leaf axils,"Soft, juicy, round or oblong","Green initially, orange to brown when ripe",Sweet and sour edible white pulp,Central hard stone with 2 elliptic brown seeds,"<iframe width=""854"" height=""480"" src=""https://www.youtube.com/embed/Hm7ShKvC_-w?list=PL7jZaz9RpobeLA6ZE5e-Is4HoLkADcdbj&amp;ecver=1"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen></iframe>",https://www.youtube.com/watch?v=Hm7ShKvC_-w&index=43&list=PL7jZaz9RpobeLA6ZE5e-Is4HoLkADcdbj,"Near H9, H6, Lakeside road, at T point","<iframe src=""https://www.google.com/maps/d/u/0/embed?mid=1n3e6XD8i9zD7QVL7-q-tANCsbQ3rS2Lz"" width=""640"" height=""480""></iframe>"
17,B,Bitti,Thevetia peruviana,Evergreen,"Bitti is a poisonous large tropical shrub/small tree, native throughout Mexico and in Central America, and cultivated widely as an ornamental tree. All parts of this plant are toxic to most vertebrates. Contains many toxins that produce gastric and cardiotoxic effects. e.g vomiting,abdominal pain, nausea, pain in mouth and lips etc. Draught resistant and planted as ornamental tree in gardens and parks",Yellow Oleander,Mexican Oleander,Lucky Nut,Peeli Kaner,"Simple, alternate, glossy green","Linear lanceolate, long, narrow",Tip is pointed with a dark green color.,Covered in waxy coating to reduce water loss,"Smooth, corky",Green when young,Turns slivery grey with age,,"Fragrant, yellow ",Present in terminal clusters,Long funnel shaped,Flowering throughout the year,"Small, deep red black","Laterally compressed, poisonous",2 to 4 flat seeds,Fruiting throghout the year,"<iframe width=""854"" height=""480"" src=""https://www.youtube.com/embed/JLtVTrPL9eQ?list=PL7jZaz9RpobeLA6ZE5e-Is4HoLkADcdbj&amp;ecver=1"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen></iframe>",https://www.youtube.com/watch?v=JLtVTrPL9eQ&list=PL7jZaz9RpobeLA6ZE5e-Is4HoLkADcdbj&index=44,"Entrance of Convo, ED building to YP gate road","<iframe src=""https://www.google.com/maps/d/u/0/embed?mid=1vOk26DidfuZQnaRpAprZY0sLhLZW4ENl"" width=""640"" height=""480""></iframe>"
18,B,Bhokar,Cordia dichotoma,Deciduous,"Bhokar is a small to moderate sized flowering tree in the borage family, Boraginaceae, with a short bole and spreading crown. It is a tree of tropical and subtropical regions. It is found in a variety of forests ranging from the dry deciduous forests of Rajasthan to the moist deciduous forests of Western Ghats and tidal forests in Myanmar.The timber is used in construction. The sticky, slimy fruit pulp is used to make glue.",Indian Cherry,Lasora,Fragrant Manjack,Bird Lime Tree,"Simple, alternate, long stalked",Have pointed tips,"2 to 16cm long, 1.2 to 10cm wide",Papery to slightly leathery leaf blades,"Smooth, hard trunk",Greyish brown in color,Longitudinally wrinkled,,"Short stalked, white",They are bisexual,Open only at night,Flowering shoots are 4 to 11 cm long,Pinkish yellow shining globose,Turns black on ripening,"Sticky, slimy fruit pulp",Single seed is present,,,"Near Campus hub, beside LHC","<iframe src=""https://www.google.com/maps/d/u/0/embed?mid=13dqWt_M6JL2EoC2xRht4DsIPs4H5iONQ"" width=""640"" height=""480""></iframe>"
19,B,Bottle Palm,Roystonea regia,Evergreen,"Royal Palm is a truly aristocratic palm which makes a memorable impression wherever it is grown. This is a large palm which reaches a height of 20 to 30 metres. Native to Mexico, parts of Central America, Caribbean, and southern Florida. It has been planted throughout the tropics and subtropics as an ornamental tree, looks especially impressive when formally massed along avenues and boulevards.",Cuban Royal Palm,Florida Royal Palm,Royal Palm,Bottle Palm,"Compound, pinnate, bright green",Emerge from glossy green 'Crownshaft',Feather like with 3 to 4m in length,15 to 20 leaves present per tree,Trunk is stout and very smooth,Greyish white in color,Self cleaning with round scars,,"Small, cream colored",They are unisexual,Distinct male and female flowers ,Emerge from horn shaped bracts,Spherical to ellipsoid ,"8.9 to 15mm long, 7 to 10.9mm wide",Green when immature,Turns red to purple black as they mature,"<iframe width=""854"" height=""480"" src=""https://www.youtube.com/embed/4jBVlYUPZBk?list=PL7jZaz9RpobeLA6ZE5e-Is4HoLkADcdbj&amp;ecver=1"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen></iframe>",https://www.youtube.com/watch?v=4jBVlYUPZBk&list=PL7jZaz9RpobeLA6ZE5e-Is4HoLkADcdbj&index=45,Both sides of Main gate to Convo hall road,"<iframe src=""https://www.google.com/maps/d/u/0/embed?mid=1d_IsDNJfVVTZSWfYPtPPumiFIUm230Kb"" width=""640"" height=""480""></iframe>"
20,C,Chanda,Macaranga peltata,Evergreen ,"Chanda is a resinious tree found in northern Thailand, Sri Lanka and India. Grows upto a height of 10m. Known as Kenda or Kanda in Sri Lanka. Young parts are velvet hairy. Leaves are commonly used for flavoring in Sri Lanka.They are also used to wrap jaggery and other sweetments.Today the major use of chanda is for making wooden pencils and plywood Industry. ",Chandada,Chandava,Roxburgh's Lotus Croton,Macaranga,"Simple, alternate, acute apex",Circular or broadly ovate,"11 to 25cm long, 9 to 20cm wide","7 to 9 lateral, parallel nerves","Smooth, brittle",Pale greyish brown in color,Blaze deep pink red inside,,"Small, yellowish green",They are unisexual,Occur in long panicles in leaf axils,Blooms around January to February,Spherical capsule ,Covered with glandular scales,4 to 5mm in diameter,One black seed is present,,,"Near H9, H7",
21,C,Chikoo,Manilkara zapota,Evergreen ,"Chikoo is a fairly slow-growing, upright and elegant long-lived tree. Native to southern Mexico and Central America. Grows up to 18m high in the open but reaching 30m when crowded in a forest. It is strong and wind-resistant. Wood is strong and durable, used to make beams and furniture. Gummy latex (chicle) tapped from trunk during rainy season used for making chewing gum and adhesives.",Sapodilla,Chikku,Sapota,Chiku,"Simple,alternate, medium green",Elliptic to ovate with entire margin,"7 to 15cm long,  2.5 to 4cm wide.","Pointed, clustered at branch tips","Smooth, vertically fissured",Dark brown in color,"Rich in a white, gummy latex called chicle",,"Small, bell shaped, white",They are bisexual,Inconspicous with 6 lobed corolla,Borne on slender stalks at the leaf bases,"Nearly round, ellipsoid, conical","Exceptionally sweet, malty flavor",Flesh is pale yellow to earthy brown ,"Black, hard, glossy, 1 to 6 seeds",,,Behind gulmohar cafetaria,
22,C,Christmas Tree,Araucaria columnaris,Evergreen ,"This is a distinctive narrowly conical tree growing up to 60m tall in its native habit, but more commonly grown as a house-plant in pots.The trees have a slender, spire like crown. A 2017 study found that trees tend to have a uniform tilt dependent on the hemisphere of their location, leaning on average 8 degrees south in the northern hemisphere and the same angle north in the southern hemisphere.",Cook Pine,New Caledonia Pine,Cook Araucaria,Columnar Araucaria,"Small, green, spirally aranged","Incurved, point tipped, overlapping",Young leaves are needle like ,"Broader adult leaves are triangular, scale-like","Rough, resinous",Greyish brown in color,Peels off in thin paper like sheets,,This plant is a conifer,Conifers are gymnosperms,Flowers are not present ,Bear male and female cones,"Female seed cones are scaly, egg shaped","Female cones are 10to15cm long, 7to11cm wide","Male pollen cones are scaly, foxtail shaped",Male cones are present at tips of branchlets,"<iframe width=""854"" height=""480"" src=""https://www.youtube.com/embed/YMtiwLbnVbs?list=PL7jZaz9RpobeLA6ZE5e-Is4HoLkADcdbj&amp;ecver=1"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen></iframe>",https://www.youtube.com/watch?v=YMtiwLbnVbs&list=PL7jZaz9RpobeLA6ZE5e-Is4HoLkADcdbj&index=46,"Inside H2, H4, Behind Jalvihar building",
23,C,Coconut,Cocos nucifera,Evergreen ,"The Coconut Palm is a member of the palm family. It is the only species in the Genus Cocos, and is a large palm, growing upto 30m. The term coconut can refer to the whole coconut palm or the seed, or the fruit, which, botanically, is a drupe, not a nut. Coconuts are known for their versatility ranging from food to cosmetics. They form a regular part of the diets of many people in the tropics and subtropics.",Nariyal,Shriphal,Naral,Narikel,"Compound, pinnate, 4 to 6m long",60 to 90cm long pinnae,Old leaves break away cleanly,Stiff midribs are used for making brooms,"Smooth, hard trunk",Pale greyish brown in color,Self cleaning with round scars,,Distict male and female flowers,"Male, female flowers in the same inflorescence ",Believed to be largely cross pollinated,Flowering throughout the year,Composed of 3 layers,Oil and milk are derived from dry coconut,Coconut water is consumed throughout the humid tropics,"Shell has three germination pores or ""eyes""","<iframe width=""854"" height=""480"" src=""https://www.youtube.com/embed/tt7UKDiE9jY?list=PL7jZaz9RpobeLA6ZE5e-Is4HoLkADcdbj&amp;ecver=1"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen></iframe>",https://www.youtube.com/watch?v=tt7UKDiE9jY&index=47&list=PL7jZaz9RpobeLA6ZE5e-Is4HoLkADcdbj,"Inside most of the hostels, Beside Civil Dept. building","<iframe src=""https://www.google.com/maps/d/u/0/embed?mid=1ZT-rxjUtnNtFCD0G3dHJ08_8-wBJqHie"" width=""640"" height=""480""></iframe>"
24,C,Copper Pod ,Peltophorum pterocarpum,Deciduous,"Copperpod also called yellow flame tree, because of the resemblance of its fern-like leaves to that of Gulmohar. Native of Sri Lanka, the Andamans, the Malay peninsula and North Australia. It is a very handsome tree with its spreading crown of many branches consisting of feathery mimosa like leaves and abundance of bright yellow blooms. Popular ornamental tree grown around the world.",Yellow Poinciana,Yellow Flamboyant,Yellow Flame,Peela Gulmohar,"Compound, bipinnate, 16 to 20 pinnae",Each pinna is 30 to 60 cm long,Each pinna with 20-40 oval leaflets,"Leaflet is 8 to 25mm long, 4 to10mm broad","Multiple trunks, vertically fissured",Dark brown in color,"Wood is weak, breaks easily",,"Bright yellow, fragrant, very showy",Produced in large compound raceme ,"2.5 to 4cm in dia, upto 20cm long raceme",Flowering usually occurs from March to May,"Flat, thin and winged pods","Pod is 5 to10cm long, 2.5cm broad","Red at first, ripening to black color",Contains 1 to 4 seeds,,,"Inside nursery, Both sides of H6 to Main gate raod, Both sides of VMCC to YP gate road","<iframe src=""https://www.google.com/maps/d/u/0/embed?mid=1-qxEZbl8PO0zUzV3V2VZdHdHyQaVm6zw"" width=""640"" height=""480""></iframe>"
